Incident energy ; BROND-3.1 ; ENDF/B-VIII.0 ; JEFF-4.0 ; JENDL-4.0u ; TENDL-2019
Incident energy ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
3.034742E-5 ; 0.2769358262546868 ; 0.27667040778880003 ; 0.276399894 ; 0.27651384904640003 ; 0.2765597903068091
3.034747E-5 ; 0.2769355949447993 ; 0.2766701794208 ; 0.27639967166458396 ; 0.27651362080906666 ; 0.276559557
3.125E-5 ; 0.2727603126892098 ; 0.272548 ; 0.2723863840048061 ; 0.2723938 ; 0.2725439533365682
3.132534E-5 ; 0.2724117749507013 ; 0.2722335408853333 ; 0.272051369 ; 0.27207951768320005 ; 0.272208745
3.15215E-5 ; 0.2715043 ; 0.27141479520000006 ; 0.27121962471916755 ; 0.27126123232 ; 0.2713765208218736
3.233491E-5 ; 0.2682243972830162 ; 0.2680197303146667 ; 0.267770659 ; 0.2678680762368 ; 0.2679255651289198
3.233496E-5 ; 0.26822419566865713 ; 0.26801952162133336 ; 0.26777045684231493 ; 0.2678678676608 ; 0.267925353
3.3125E-5 ; 0.26503852750312457 ; 0.264722 ; 0.26457620369143436 ; 0.2645722 ; 0.26472925713698053
3.337686E-5 ; 0.26402295565338146 ; 0.26375641577386666 ; 0.263557895 ; 0.2636071665077333 ; 0.263710361
3.44019E-5 ; 0.2598897 ; 0.25982660375466665 ; 0.2596060979835361 ; 0.25967959590933337 ; 0.2597562835406883
3.445255E-5 ; 0.25970961677718374 ; 0.2596324211093333 ; 0.259410829 ; 0.25948552401866665 ; 0.25956090187430053
3.44526E-5 ; 0.2597094390049993 ; 0.2596322294186666 ; 0.25941064519173296 ; 0.2594853324373333 ; 0.259560709
3.5E-5 ; 0.257763189129982 ; 0.2575336 ; 0.2573983122840325 ; 0.2573879 ; 0.257547214957627
3.556274E-5 ; 0.25576239874878487 ; 0.25561603718879994 ; 0.255329587 ; 0.2554714176496 ; 0.255477296
3.670888E-5 ; 0.2516873625197889 ; 0.2517105116522666 ; 0.251311993 ; 0.25156809270186664 ; 0.2514573833674347
3.670893E-5 ; 0.2516871847476045 ; 0.2517103412749333 ; 0.25131182587581374 ; 0.25156792242053333 ; 0.251457208
3.72823E-5 ; 0.2496486 ; 0.24975655624266663 ; 0.24939534598158758 ; 0.24961523825866666 ; 0.2495396218779811
3.789178E-5 ; 0.24771905610665557 ; 0.24767972470026667 ; 0.247358169 ; 0.24753957691786665 ; 0.247501269
3.875E-5 ; 0.24500202985452904 ; 0.2447553 ; 0.24462288088478548 ; 0.2446168 ; 0.24476440278472877
3.911298E-5 ; 0.24385287673645106 ; 0.24368598027893335 ; 0.243466004 ; 0.24354808040586667 ; 0.24360685845015354
3.911303E-5 ; 0.24385271844217618 ; 0.24368583298160001 ; 0.2434658520451772 ; 0.2435479331912 ; 0.243606699
4.01626E-5 ; 0.2405299 ; 0.24059385573866668 ; 0.24027610757806042 ; 0.24045769123733335 ; 0.24041511329267962
4.037335E-5 ; 0.23993086046556034 ; 0.23997299747866668 ; 0.239635618 ; 0.23983718141733334 ; 0.239774254
4.167452E-5 ; 0.23623239180113875 ; 0.2361398200544 ; 0.235864968 ; 0.23600615526080002 ; 0.23600142697825122
4.167457E-5 ; 0.23623224968025275 ; 0.23613967275706668 ; 0.23586482983834478 ; 0.23600600804613334 ; 0.236001282
4.25E-5 ; 0.23388603282183032 ; 0.233708 ; 0.23358397433732464 ; 0.2335757 ; 0.23371911037823465
4.301744E-5 ; 0.2324152521969171 ; 0.23237301859839998 ; 0.232154167 ; 0.2322414775104 ; 0.232288478
4.3043E-5 ; 0.2323426 ; 0.23230707448 ; 0.232086820209876 ; 0.23217557088 ; 0.23222109234266175
4.440383E-5 ; 0.2288783810168176 ; 0.2287961693688 ; 0.228501236 ; 0.2286666616528 ; 0.22863343881857853
4.440388E-5 ; 0.2288782537335058 ; 0.22879604037013335 ; 0.22850111037803136 ; 0.22866653272746668 ; 0.228633307
4.583469E-5 ; 0.2252358890271669 ; 0.22510458872506667 ; 0.224906287 ; 0.22497717960373334 ; 0.225036408
4.625E-5 ; 0.22417864838292367 ; 0.2240331 ; 0.22391133391701137 ; 0.2239063 ; 0.22404088048910806
4.65215E-5 ; 0.2234875 ; 0.22341299400000003 ; 0.22326090469057466 ; 0.22328654876 ; 0.22339007574275677
4.731188E-5 ; 0.2216892690504528 ; 0.22160776608000002 ; 0.221367401 ; 0.22148235360319998 ; 0.22149547885354443
4.731193E-5 ; 0.22168915529308608 ; 0.22160765188000003 ; 0.22136728678044956 ; 0.22148223946853335 ; 0.221495359
4.883645E-5 ; 0.2182206476800345 ; 0.2181256482 ; 0.217884687 ; 0.218002227828 ; 0.218010748
5.0E-5 ; 0.2155734 ; 0.2154681 ; 0.2153501923610389 ; 0.2153462 ; 0.21547479107808867
5.041038E-5 ; 0.2147281485216 ; 0.21462045450294018 ; 0.214456285 ; 0.21450184150847998 ; 0.214580367974987
5.041043E-5 ; 0.2147280455376 ; 0.214620351227257 ; 0.21445618114804055 ; 0.21450173863328 ; 0.214580259
